0	6.5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	
0	0	4	0	0	0	0	0	0	4.6	0	0	0	0	0	0	0	0	
0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	
9.5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	21.5	0	0	0	0	
0	0	0	0	0	21.5	0	0	0	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	
4	0	0	0	0	0	9	0	0	0	6	0	0	0	3.5	0	0	0	
0	2.1	0	0	0	0	5.5	0	0	0	0	0	0	0	0	3.2	0	0	
0	0	3	0	0	0	7	0	0	3	0	3	0	0	0	0	4.5	0	
0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	4.5	
0	0	0	0	21.5	0	0	0	12	0	0	0	0	0	0	0	0	0	
0	0	0	0	0	0	0	20	0	0	0	0	0	0	29.5	15	18	0	
0	0	0	0	0	0	0	0	3.5	0	0	0	21.5	8	0	0	0	0	
0	0	0	0	0	0	0	0	0	3.2	0	0	0	15	0	0	0	0	
0	0	0	0	0	0	0	0	0	0	4.5	0	0	18	0	0	0	24	
0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	24	0	
																		
0.84	0	0	0	0	0	0	0											
0	0.84	0	0	0	0	0	0											
0	0	0.84	0	0	0	0	0											
0	0	0	0.84	0	0	0	0											
0	0	0	0	1	0	0	0											
0	0	0	0	0	1	1	1											
0.16	0	0	0	0	0	0	0											
0	0.16	0	0	0	0	0	0											
0	0	0.16	0	0	0	0	0											
0	0	0	0.16	0	0	0	0											
																		
0.2	0	0	0	0	0	0	0											
0	0.2	0	0	0	0	0	0											
0	0	0.2	0	0	0	0	0											
0	0	0	0.2	0	0	0	0											
0	0	0	0	1	0	0	0											
0	0	0	0	0	1	1	1											
0.8	0	0	0	0	0	0	0											
0	0.8	0	0	0	0	0	0											
0	0	0.8	0	0	0	0	0											
0	0	0	0.8	0	0	0	0											
																		
0.55	0.4	0.35	0.65	0.08	0.17	0.3	0.2	8.6	6.9	8	10	0.9	10.3	13.5	10.7	12.6	15.8	
21.4	17.4	24.7	25.7	2.7	2.7	2.7	2.7											
2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	2.17	
1.00E-03	1.00E-03	1.00E-03	1.00E-03	5.50E-01	1.62E+00	1.22E+00	2.00E+00											
