0	6.5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0
0	0	4	0	0	0	0	0	0	4.6	0	0	0	0	0	0	0	0
0	0	0	2	0	0	0	0	0	0	5	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0
9.5	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	21.5	0	0	0	0
0	0	0	0	0	21.5	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0
4	0	0	0	0	0	9	0	0	0	6	0	0	0	3.5	0	0	0
0	2.1	0	0	0	0	5.5	0	0	0	0	0	0	0	0	3.2	0	0
0	0	3	0	0	0	7	0	0	3	0	3	0	0	0	0	4.5	0
0	0	0	3	0	0	0	0	0	0	5	0	0	0	0	0	0	4.5
0	0	0	0	21.5	0	0	0	12	0	0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	20	0	0	0	0	0	0	29.5	15	18	0
0	0	0	0	0	0	0	0	3.5	0	0	0	21.5	8	0	0	0	0
0	0	0	0	0	0	0	0	0	3.2	0	0	0	15	0	0	0	0
0	0	0	0	0	0	0	0	0	0	4.5	0	0	18	0	0	0	24
0	0	0	0	0	0	0	0	0	0	0	4.5	0	0	0	0	24	0
